home,away,year,home_goals,away_goals
Peru,Ecuador,1939,5,2
Paraguay,Chile,1939,5,1
Uruguay,Chile,1939,3,2
Peru,Ecuador,1941,4,0
Argentina,Chile,1941,1,0
Uruguay,Peru,1941,2,0
Argentina,Uruguay,1941,1,0
Uruguay,Chile,1941,2,0
Chile,Ecuador,1941,5,0
Argentina,Peru,1941,2,1
Chile,Peru,1941,1,0
Uruguay,Ecuador,1941,6,0
Argentina,Ecuador,1941,6,1
Peru,Ecuador,1942,2,1
Argentina,Chile,1942,0,0
Uruguay,Paraguay,1942,3,1
Brazil,Ecuador,1942,5,1
Uruguay,Argentina,1942,1,0
Brazil,Paraguay,1942,1,1
Chile,Peru,1942,0,0
Argentina,Peru,1942,3,1
Chile,Ecuador,1942,2,1
Paraguay,Ecuador,1942,3,1
Uruguay,Peru,1942,3,0
Argentina,Ecuador,1942,12,0
Uruguay,Brazil,1942,1,0
Argentina,Paraguay,1942,4,3
Brazil,Chile,1942,6,1
Argentina,Brazil,1942,2,1
Uruguay,Chile,1942,6,1
Uruguay,Ecuador,1942,7,0
Paraguay,Peru,1942,1,1
Brazil,Peru,1942,2,1
Paraguay,Chile,1942,2,0
Bolivia,Ecuador,1945,0,0
Argentina,Uruguay,1945,1,0
Brazil,Ecuador,1945,9,2
Bolivia,Colombia,1945,3,3
Chile,Uruguay,1945,1,0
Argentina,Brazil,1945,3,1
Uruguay,Bolivia,1945,2,0
Chile,Argentina,1945,1,1
Brazil,Chile,1945,1,0
Brazil,Uruguay,1945,3,0
Colombia,Ecuador,1945,3,1
Argentina,Ecuador,1945,4,2
Argentina,Colombia,1945,9,1
Argentina,Bolivia,1945,4,0
Brazil,Colombia,1945,3,0
Chile,Bolivia,1945,5,0
Chile,Ecuador,1945,6,3
Uruguay,Colombia,1945,7,0
Brazil,Bolivia,1945,2,0
Chile,Colombia,1945,2,0
Uruguay,Ecuador,1945,5,1
Brazil,Paraguay,1946,1,1
Argentina,Brazil,1946,2,0
Paraguay,Uruguay,1946,2,1
Chile,Bolivia,1946,4,1
Brazil,Chile,1946,5,1
Argentina,Uruguay,1946,3,1
Uruguay,Bolivia,1946,5,0
Argentina,Bolivia,1946,7,1
Paraguay,Bolivia,1946,4,2
Brazil,Uruguay,1946,4,3
Chile,Paraguay,1946,2,1
Uruguay,Chile,1946,1,0
Brazil,Bolivia,1946,3,0
Argentina,Paraguay,1946,2,0
Argentina,Chile,1946,3,1
Peru,Colombia,1947,5,1
Argentina,Colombia,1947,6,0
Peru,Ecuador,1947,0,0
Paraguay,Colombia,1947,2,0
Paraguay,Chile,1947,1,0
Paraguay,Bolivia,1947,3,1
Uruguay,Peru,1947,1,0
Bolivia,Peru,1947,0,2
Argentina,Uruguay,1947,3,1
Chile,Colombia,1947,4,1
Chile,Bolivia,1947,4,3
Argentina,Ecuador,1947,2,0
Argentina,Chile,1947,1,1
Paraguay,Ecuador,1947,4,0
Paraguay,Uruguay,1947,4,2
Uruguay,Colombia,1947,2,0
Uruguay,Ecuador,1947,6,1
Argentina,Paraguay,1947,6,0
Argentina,Bolivia,1947,7,0
Colombia,Ecuador,1947,0,0
Peru,Paraguay,1947,2,2
Ecuador,Bolivia,1947,2,2
Chile,Peru,1947,2,1
Uruguay,Bolivia,1947,3,0
Chile,Ecuador,1947,3,0
Argentina,Peru,1947,3,2
Colombia,Bolivia,1947,0,0
Uruguay,Chile,1947,6,0
Uruguay,Colombia,1949,2,2
Peru,Bolivia,1949,3,0
Paraguay,Chile,1949,4,2
Paraguay,Bolivia,1949,7,0
Brazil,Uruguay,1949,5,1
Peru,Chile,1949,3,0
Bolivia,Colombia,1949,4,0
Peru,Uruguay,1949,4,3
Chile,Uruguay,1949,3,1
Paraguay,Brazil,1949,2,1
Brazil,Paraguay,1949,7,0
Bolivia,Ecuador,1949,2,0
Ecuador,Colombia,1949,4,1
Brazil,Peru,1949,7,1
Peru,Ecuador,1949,4,0
Chile,Colombia,1949,1,1
Brazil,Ecuador,1949,9,1
Uruguay,Paraguay,1949,2,1
Paraguay,Colombia,1949,3,0
Peru,Colombia,1949,4,0
Paraguay,Ecuador,1949,1,0
Brazil,Bolivia,1949,10,1
Bolivia,Chile,1949,3,2
Uruguay,Ecuador,1949,3,2
Paraguay,Peru,1949,3,1
Brazil,Colombia,1949,5,0
Chile,Ecuador,1949,1,0
Bolivia,Uruguay,1949,3,2
Brazil,Chile,1949,2,1
Paraguay,Bolivia,1953,2,1
Chile,Ecuador,1953,3,0
Peru,Brazil,1953,1,0
Brazil,Chile,1953,3,2
Chile,Bolivia,1953,2,2
Paraguay,Brazil,1953,2,1
Uruguay,Peru,1953,3,0
Paraguay,Brazil,1953,3,2
Brazil,Uruguay,1953,1,0
Uruguay,Ecuador,1953,6,0
Brazil,Ecuador,1953,2,0
Peru,Paraguay,1953,2,2
Paraguay,Chile,1953,3,0
Bolivia,Ecuador,1953,1,1
Chile,Peru,1953,0,0
Paraguay,Ecuador,1953,0,0
Chile,Uruguay,1953,3,2
Brazil,Bolivia,1953,8,1
Peru,Ecuador,1953,1,0
Uruguay,Bolivia,1953,2,0
Bolivia,Peru,1953,1,0
Paraguay,Uruguay,1953,2,2
Chile,Paraguay,1955,5,0
Peru,Paraguay,1955,1,1
Argentina,Chile,1955,1,0
Peru,Uruguay,1955,2,1
Argentina,Peru,1955,2,2
Argentina,Uruguay,1955,6,1
Paraguay,Ecuador,1955,2,0
Uruguay,Ecuador,1955,5,1
Peru,Ecuador,1955,4,2
Argentina,Ecuador,1955,4,0
Uruguay,Paraguay,1955,3,1
Chile,Peru,1955,5,4
Argentina,Paraguay,1955,5,3
Chile,Ecuador,1955,7,1
Chile,Uruguay,1955,2,2
Uruguay,Argentina,1956,1,0
Chile,Paraguay,1956,2,0
Uruguay,Brazil,1956,0,0
Chile,Peru,1956,4,3
Uruguay,Chile,1956,2,1
Brazil,Argentina,1956,1,0
Paraguay,Peru,1956,1,1
Argentina,Chile,1956,2,0
Brazil,Peru,1956,2,1
Brazil,Paraguay,1956,0,0
Uruguay,Peru,1956,2,0
Chile,Brazil,1956,4,1
Argentina,Peru,1956,2,1
Uruguay,Paraguay,1956,4,2
Argentina,Paraguay,1956,1,0
Argentina,Chile,1957,6,2
Brazil,Colombia,1957,9,0
Peru,Argentina,1957,2,1
Uruguay,Brazil,1957,3,2
Chile,Ecuador,1957,2,2
Colombia,Ecuador,1957,4,1
Uruguay,Chile,1957,2,0
Argentina,Brazil,1957,3,0
Brazil,Peru,1957,1,0
Uruguay,Peru,1957,5,3
Peru,Colombia,1957,4,1
Brazil,Ecuador,1957,7,1
Uruguay,Ecuador,1957,5,2
Peru,Ecuador,1957,2,1
Argentina,Colombia,1957,8,2
Brazil,Chile,1957,4,2
Chile,Colombia,1957,3,2
Colombia,Uruguay,1957,1,0
Argentina,Ecuador,1957,3,0
Argentina,Uruguay,1957,4,0
Peru,Chile,1957,1,0
Bolivia,Peru,1963,3,2
Argentina,Paraguay,1963,1,1
Ecuador,Colombia,1963,4,3
Bolivia,Argentina,1963,3,2
Paraguay,Peru,1963,4,1
Brazil,Ecuador,1963,2,2
Bolivia,Paraguay,1963,2,0
Argentina,Brazil,1963,3,0
Peru,Colombia,1963,1,1
Argentina,Ecuador,1963,4,2
Bolivia,Brazil,1963,5,4
Paraguay,Brazil,1963,2,0
Peru,Ecuador,1963,2,1
Bolivia,Colombia,1963,2,1
Brazil,Colombia,1963,5,1
Paraguay,Ecuador,1963,3,1
Peru,Argentina,1963,2,1
Brazil,Peru,1963,1,0
Argentina,Colombia,1963,4,2
Bolivia,Ecuador,1963,4,4
Paraguay,Colombia,1963,3,2
Argentina,Venezuela,1967,5,1
Uruguay,Chile,1967,2,2
Venezuela,Bolivia,1967,3,0
Uruguay,Argentina,1967,1,0
Uruguay,Paraguay,1967,2,0
Paraguay,Venezuela,1967,5,3
Chile,Bolivia,1967,0,0
Argentina,Chile,1967,2,0
Argentina,Bolivia,1967,1,0
Paraguay,Bolivia,1967,1,0
Uruguay,Venezuela,1967,4,0
Argentina,Paraguay,1967,4,1
Chile,Venezuela,1967,2,0
Uruguay,Bolivia,1967,4,0
Paraguay,Ecuador,1967,3,1
Ecuador,Paraguay,1967,2,2
Colombia,Chile,1967,0,0
Chile,Colombia,1967,5,2
Chile,Paraguay,1967,4,2
Paraguay,Colombia,1975,0,1
Colombia,Ecuador,1975,2,0
Paraguay,Ecuador,1975,3,1
Colombia,Uruguay,1975,3,0
Peru,Colombia,1975,1,0
Colombia,Peru,1975,1,0
Brazil,Peru,1975,1,3
Peru,Brazil,1975,0,2
Peru,Colombia,1975,2,0
Ecuador,Colombia,1975,1,3
Uruguay,Colombia,1975,1,0
Ecuador,Paraguay,1975,2,2
Argentina,Brazil,1975,0,1
Peru,Chile,1975,3,1
Venezuela,Brazil,1975,0,4
Venezuela,Argentina,1975,1,5
Brazil,Argentina,1975,2,1
Argentina,Venezuela,1975,11,0
Brazil,Venezuela,1975,6,0
Colombia,Paraguay,1975,1,0
Bolivia,Chile,1975,2,1
Bolivia,Peru,1975,0,1
Peru,Bolivia,1975,3,1
Chile,Bolivia,1975,4,0
Chile,Peru,1975,1,1
Paraguay,Ecuador,1979,2,0
Uruguay,Ecuador,1979,2,1
Paraguay,Uruguay,1979,0,0
Uruguay,Paraguay,1979,2,2
Peru,Chile,1979,1,2
Paraguay,Brazil,1979,2,1
Brazil,Paraguay,1979,2,2
Paraguay,Chile,1979,3,0
Chile,Paraguay,1979,1,0
Ecuador,Uruguay,1979,2,1
Chile,Peru,1979,0,0
Paraguay,Chile,1979,0,0
Ecuador,Paraguay,1979,1,2
Brazil,Bolivia,1979,2,0
Argentina,Brazil,1979,2,2
Venezuela,Colombia,1979,0,0
Venezuela,Chile,1979,1,1
Colombia,Venezuela,1979,4,0
Chile,Venezuela,1979,7,0
Colombia,Chile,1979,1,0
Bolivia,Argentina,1979,2,1
Bolivia,Brazil,1979,2,1
Brazil,Argentina,1979,2,1
Argentina,Bolivia,1979,3,0
Chile,Colombia,1979,2,0
Peru,Bolivia,1983,2,1
Bolivia,Peru,1983,1,1
Colombia,Peru,1983,2,2
Colombia,Bolivia,1983,2,2
Peru,Uruguay,1983,0,1
Peru,Colombia,1983,1,0
Paraguay,Brazil,1983,1,1
Brazil,Paraguay,1983,0,0
Uruguay,Brazil,1983,2,0
Brazil,Uruguay,1983,1,1
Uruguay,Peru,1983,1,1
Bolivia,Colombia,1983,0,1
Chile,Uruguay,1983,2,0
Argentina,Ecuador,1983,2,2
Uruguay,Chile,1983,2,1
Uruguay,Venezuela,1983,3,0
Brazil,Argentina,1983,0,0
Venezuela,Uruguay,1983,1,2
Chile,Venezuela,1983,5,0
Ecuador,Argentina,1983,2,2
Ecuador,Brazil,1983,0,1
Argentina,Brazil,1983,1,0
Brazil,Ecuador,1983,5,0
Venezuela,Chile,1983,0,0
Colombia,Paraguay,1987,3,0
Uruguay,Chile,1987,1,0
Colombia,Argentina,1987,2,1
Uruguay,Argentina,1987,1,0
Chile,Colombia,1987,2,1
Colombia,Bolivia,1987,2,0
Paraguay,Bolivia,1987,0,0
Chile,Brazil,1987,4,0
Chile,Venezuela,1987,3,1
Brazil,Venezuela,1987,5,0
Peru,Ecuador,1987,1,1
Argentina,Ecuador,1987,3,0
Argentina,Peru,1987,1,1
Uruguay,Chile,1989,3,0
Chile,Bolivia,1989,5,0
Argentina,Uruguay,1989,1,0
Chile,Ecuador,1989,2,1
Uruguay,Paraguay,1989,3,0
Brazil,Paraguay,1989,3,0
Uruguay,Argentina,1989,2,0
Ecuador,Bolivia,1989,0,0
Argentina,Paraguay,1989,0,0
Brazil,Uruguay,1989,1,0
Brazil,Argentina,1989,2,0
Argentina,Ecuador,1989,0,0
Argentina,Bolivia,1989,0,0
Argentina,Chile,1989,1,0
Brazil,Venezuela,1989,3,1
Colombia,Venezuela,1989,4,2
Brazil,Peru,1989,0,0
Peru,Venezuela,1989,1,1
Paraguay,Colombia,1989,1,0
Paraguay,Peru,1989,5,2
Paraguay,Venezuela,1989,3,0
Ecuador,Uruguay,1989,1,0
Brazil,Paraguay,1989,2,0
Uruguay,Bolivia,1989,3,0
Brazil,Colombia,1989,0,0
Colombia,Peru,1989,1,1
Brazil,Bolivia,1991,2,1
Brazil,Chile,1991,2,0
Brazil,Colombia,1991,2,0
Argentina,Chile,1991,0,0
Argentina,Colombia,1991,2,1
Argentina,Brazil,1991,3,2
Brazil,Ecuador,1991,3,1
Uruguay,Colombia,1991,1,0
Colombia,Brazil,1991,2,0
Ecuador,Bolivia,1991,4,0
Brazil,Uruguay,1991,1,1
Colombia,Bolivia,1991,0,0
Chile,Colombia,1991,1,1
Uruguay,Ecuador,1991,1,1
Colombia,Ecuador,1991,1,0
Uruguay,Bolivia,1991,1,1
Chile,Venezuela,1991,2,0
Paraguay,Peru,1991,1,0
Argentina,Venezuela,1991,3,0
Paraguay,Venezuela,1991,5,0
Chile,Peru,1991,4,2
Peru,Venezuela,1991,5,1
Argentina,Paraguay,1991,4,1
Argentina,Peru,1991,3,2
Chile,Paraguay,1991,4,0
Argentina,Chile,1991,1,0
Ecuador,Paraguay,1993,3,0
Colombia,Bolivia,1993,1,1
Mexico,Bolivia,1993,0,0
Argentina,Colombia,1993,1,1
Argentina,Brazil,1993,1,1
Argentina,Mexico,1993,1,1
Mexico,Ecuador,1993,2,0
Argentina,Colombia,1993,0,0
Ecuador,Colombia,1993,0,1
Argentina,Mexico,1993,2,1
Mexico,Peru,1993,4,2
Argentina,Bolivia,1993,1,0
Colombia,Uruguay,1993,1,1
Brazil,Paraguay,1993,3,0
Ecuador,Venezuela,1993,6,1
Uruguay,United States,1993,1,0
Uruguay,Venezuela,1993,2,2
Ecuador,United States,1993,2,0
Venezuela,United States,1993,3,3
Ecuador,Uruguay,1993,2,1
Colombia,Mexico,1993,2,1
Paraguay,Chile,1993,1,0
Brazil,Peru,1993,0,0
Paraguay,Peru,1993,1,1
Chile,Brazil,1993,3,2
Peru,Chile,1993,1,0
Argentina,Chile,1995,4,0
United States,Argentina,1995,3,0
Colombia,Paraguay,1995,1,1
Uruguay,Bolivia,1995,2,1
United States,Mexico,1995,0,0
Uruguay,Colombia,1995,2,0
Bolivia,United States,1995,1,0
Brazil,United States,1995,1,0
Colombia,United States,1995,4,1
Uruguay,Brazil,1995,1,1
Brazil,Argentina,1995,2,2
Argentina,Bolivia,1995,2,1
Bolivia,Chile,1995,2,2
Brazil,Colombia,1995,3,0
Paraguay,Mexico,1995,2,1
Uruguay,Paraguay,1995,1,0
Mexico,Venezuela,1995,3,1
Paraguay,Venezuela,1995,3,2
Uruguay,Mexico,1995,1,1
Uruguay,Venezuela,1995,4,1
Brazil,Ecuador,1995,1,0
Colombia,Peru,1995,1,1
Ecuador,Peru,1995,2,1
United States,Chile,1995,2,1
Colombia,Ecuador,1995,1,0
Brazil,Peru,1995,2,0
Brazil,Bolivia,1997,3,1
Brazil,Costa Rica,1997,5,0
Mexico,Peru,1997,1,0
Brazil,Peru,1997,7,0
Bolivia,Mexico,1997,3,1
Mexico,Ecuador,1997,1,1
Bolivia,Colombia,1997,2,1
Peru,Argentina,1997,2,1
Brazil,Colombia,1997,2,0
Mexico,Costa Rica,1997,1,1
Brazil,Mexico,1997,3,2
Colombia,Costa Rica,1997,4,1
Brazil,Paraguay,1997,2,0
Mexico,Colombia,1997,2,1
Peru,Venezuela,1997,2,0
Paraguay,Chile,1997,1,0
Ecuador,Argentina,1997,0,0
Paraguay,Ecuador,1997,0,2
Argentina,Chile,1997,2,0
Chile,Ecuador,1997,1,2
Bolivia,Uruguay,1997,1,0
Peru,Uruguay,1997,1,0
Bolivia,Venezuela,1997,1,0
Uruguay,Venezuela,1997,2,0
Bolivia,Peru,1997,2,0
Paraguay,Argentina,1997,1,1
Uruguay,Ecuador,1999,2,1
Argentina,Colombia,1999,0,3
Colombia,Ecuador,1999,2,1
Argentina,Uruguay,1999,2,0
Peru,Mexico,1999,3,3
Brazil,Argentina,1999,2,1
Colombia,Chile,1999,2,3
Uruguay,Chile,1999,1,1
Mexico,Brazil,1999,0,2
Argentina,Ecuador,1999,3,1
Uruguay,Brazil,1999,0,3
Paraguay,Uruguay,1999,1,1
Chile,Mexico,1999,1,2
Uruguay,Colombia,1999,0,1
Mexico,Venezuela,1999,3,1
Brazil,Chile,1999,1,1
Peru,Japan,1999,3,2
Paraguay,Bolivia,1999,0,0
Paraguay,Japan,1999,4,0
Japan,Bolivia,1999,1,1
Peru,Bolivia,1999,1,0
Chile,Mexico,1999,0,1
Brazil,Venezuela,1999,7,0
Brazil,Mexico,1999,2,1
Chile,Venezuela,1999,3,0
Paraguay,Peru,1999,1,0
Chile,Mexico,2001,0,2
Honduras,Bolivia,2001,2,0
Bolivia,Costa Rica,2001,0,4
Mexico,Colombia,2001,0,1
Costa Rica,Uruguay,2001,1,2
Uruguay,Costa Rica,2001,1,1
Brazil,Honduras,2001,0,2
Mexico,Uruguay,2001,2,1
Colombia,Honduras,2001,2,0
Uruguay,Honduras,2001,2,2
Colombia,Peru,2001,3,0
Honduras,Costa Rica,2001,0,1
Honduras,Uruguay,2001,1,0
Brazil,Paraguay,2001,3,1
Ecuador,Chile,2001,1,4
Colombia,Venezuela,2001,2,0
Chile,Venezuela,2001,1,0
Colombia,Ecuador,2001,1,0
Ecuador,Venezuela,2001,4,0
Bolivia,Uruguay,2001,0,1
Peru,Paraguay,2001,3,3
Brazil,Mexico,2001,0,1
Brazil,Peru,2001,2,0
Paraguay,Mexico,2001,0,0
Peru,Mexico,2001,1,0
Colombia,Chile,2001,2,0
Paraguay,Chile,2004,1,1
Costa Rica,Chile,2004,2,1
Brazil,Paraguay,2004,1,2
Peru,Argentina,2004,0,1
Colombia,Costa Rica,2004,2,0
Argentina,Colombia,2004,3,0
Mexico,Brazil,2004,0,4
Brazil,Uruguay,2004,1,1
Colombia,Uruguay,2004,1,2
Argentina,Brazil,2004,2,2
Brazil,Costa Rica,2004,4,1
Paraguay,Uruguay,2004,1,3
Brazil,Chile,2004,1,0
Costa Rica,Paraguay,2004,0,1
Argentina,Uruguay,2004,4,2
Peru,Bolivia,2004,2,2
Colombia,Bolivia,2004,1,0
Peru,Venezuela,2004,3,1
Venezuela,Bolivia,2004,1,1
Peru,Colombia,2004,2,2
Venezuela,Colombia,2004,0,1
Argentina,Ecuador,2004,6,1
Uruguay,Ecuador,2004,2,1
Argentina,Mexico,2004,0,1
Mexico,Ecuador,2004,2,1
Mexico,Uruguay,2004,2,2
Colombia,United States,2007,1,0
Argentina,Paraguay,2007,1,0
Venezuela,Uruguay,2007,1,4
Chile,Brazil,2007,1,6
Mexico,Paraguay,2007,6,0
Uruguay,Brazil,2007,2,2
Mexico,Argentina,2007,0,3
Uruguay,Mexico,2007,1,3
Brazil,Argentina,2007,3,0
Argentina,Colombia,2007,4,2
Argentina,Peru,2007,4,0
Argentina,United States,2007,4,1
United States,Paraguay,2007,1,3
Brazil,Ecuador,2007,1,0
Paraguay,Colombia,2007,5,0
Uruguay,Peru,2007,0,3
Venezuela,Bolivia,2007,2,2
Bolivia,Uruguay,2007,0,1
Peru,Bolivia,2007,2,2
Venezuela,Uruguay,2007,0,0
Venezuela,Peru,2007,2,0
Brazil,Mexico,2007,0,2
Brazil,Chile,2007,3,0
Mexico,Ecuador,2007,2,1
Mexico,Chile,2007,0,0
Ecuador,Chile,2007,2,3
Brazil,Ecuador,2011,4,2
Peru,Mexico,2011,1,0
Chile,Peru,2011,1,0
Uruguay,Chile,2011,1,1
Chile,Mexico,2011,2,1
Uruguay,Peru,2011,1,1
Paraguay,Venezuela,2011,3,3
Colombia,Bolivia,2011,2,0
Brazil,Paraguay,2011,2,2
Paraguay,Ecuador,2011,0,0
Brazil,Venezuela,2011,0,0
Argentina,Costa Rica,2011,3,0
Bolivia,Costa Rica,2011,0,2
Argentina,Colombia,2011,0,0
Venezuela,Ecuador,2011,1,0
Uruguay,Mexico,2011,1,0
Argentina,Bolivia,2011,1,1
Colombia,Costa Rica,2011,1,0
Colombia,Peru,2011,0,2
Argentina,Uruguay,2011,1,1
Brazil,Paraguay,2011,0,0
Chile,Venezuela,2011,1,2
Peru,Uruguay,2011,0,2
Paraguay,Venezuela,2011,0,0
Peru,Venezuela,2011,4,1
Uruguay,Paraguay,2011,3,0
Chile,Bolivia,2015,5,0
Peru,Venezuela,2015,1,0
Uruguay,Jamaica,2015,1,0
Brazil,Colombia,2015,0,1
Colombia,Venezuela,2015,0,1
Argentina,Jamaica,2015,1,0
Uruguay,Paraguay,2015,1,1
Argentina,Uruguay,2015,1,0
Argentina,Paraguay,2015,2,2
Chile,Ecuador,2015,2,0
Mexico,Bolivia,2015,0,0
Ecuador,Bolivia,2015,2,3
Chile,Mexico,2015,3,3
Mexico,Ecuador,2015,1,2
Brazil,Peru,2015,2,1
Paraguay,Jamaica,2015,1,0
Brazil,Venezuela,2015,2,1
Colombia,Peru,2015,0,0
Chile,Uruguay,2015,1,0
Bolivia,Peru,2015,1,3
Argentina,Colombia,2015,0,0
Brazil,Paraguay,2015,1,1
Chile,Peru,2015,2,1
Argentina,Paraguay,2015,6,1
Peru,Paraguay,2015,2,0
Chile,Argentina,2015,0,0
Mexico,Chile,2016,0,7
Uruguay,Venezuela,2016,0,1
Mexico,Jamaica,2016,2,0
Mexico,Venezuela,2016,1,1
Uruguay,Jamaica,2016,3,0
Panama,Bolivia,2016,2,1
United States,Ecuador,2016,2,1
Argentina,Panama,2016,5,0
Chile,Panama,2016,4,2
Argentina,Bolivia,2016,3,0
Mexico,Uruguay,2016,3,1
Argentina,Chile,2016,2,1
Jamaica,Venezuela,2016,0,1
Brazil,Ecuador,2016,0,0
Ecuador,Haiti,2016,4,0
Ecuador,Peru,2016,2,2
Brazil,Haiti,2016,7,1
Peru,Colombia,2016,0,0
Haiti,Peru,2016,0,1
Colombia,Costa Rica,2016,2,3
United States,Paraguay,2016,1,0
Colombia,Paraguay,2016,2,1
United States,Costa Rica,2016,4,0
Costa Rica,Paraguay,2016,0,0
United States,Colombia,2016,0,2
Brazil,Peru,2016,0,1
Argentina,Venezuela,2016,4,1
Chile,Bolivia,2016,2,1
United States,Argentina,2016,0,4
Colombia,Chile,2016,0,2
United States,Colombia,2016,0,1
Argentina,Chile,2016,0,0
Chile,Peru,2019,0,3
Argentina,Chile,2019,2,1
Brazil,Peru,2019,3,1
Colombia,Chile,2019,0,0
Venezuela,Argentina,2019,0,2
Brazil,Paraguay,2019,0,0
Ecuador,Japan,2019,1,1
Chile,Uruguay,2019,0,1
Ecuador,Chile,2019,1,2
Uruguay,Japan,2019,2,2
Japan,Chile,2019,0,4
Uruguay,Ecuador,2019,4,0
Argentina,Paraguay,2019,1,1
Qatar,Argentina,2019,0,2
Uruguay,Peru,2019,0,0
Colombia,Qatar,2019,1,0
Paraguay,Qatar,2019,2,2
Argentina,Colombia,2019,0,2
Bolivia,Venezuela,2019,1,3
Peru,Brazil,2019,0,5
Brazil,Venezuela,2019,0,0
Bolivia,Peru,2019,1,3
Venezuela,Peru,2019,0,0
Brazil,Bolivia,2019,3,0
Colombia,Paraguay,2019,1,0
Brazil,Argentina,2019,2,0
Bolivia,Uruguay,2021,0,2
Argentina,Chile,2021,1,1
Chile,Paraguay,2021,0,2
Uruguay,Paraguay,2021,1,0
Bolivia,Argentina,2021,1,4
Brazil,Venezuela,2021,3,0
Colombia,Ecuador,2021,1,0
Colombia,Venezuela,2021,0,0
Brazil,Peru,2021,4,0
Venezuela,Ecuador,2021,2,2
Colombia,Peru,2021,1,2
Uruguay,Chile,2021,1,1
Brazil,Colombia,2021,2,1
Argentina,Paraguay,2021,1,0
Brazil,Ecuador,2021,1,1
Peru,Paraguay,2021,3,3
Brazil,Chile,2021,1,0
Uruguay,Colombia,2021,0,0
Argentina,Ecuador,2021,3,0
Brazil,Peru,2021,1,0
